instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_C,atemp_C,windspeed_kph,humidity_pct
1,2011-01-01,Semi,0,1,0,Sabtu,0,Berkabut + Mendung,0.344167,0.363625,0.805833,0.160446,331,654,985,14.110847,18.18125,10.749882,80.58330000000001
2,2011-01-02,Semi,0,1,0,Minggu,0,Berkabut + Mendung,0.363478,0.353739,0.696087,0.248539,131,670,801,14.902598000000001,17.686950000000003,16.652113,69.6087
3,2011-01-03,Semi,0,1,0,Senin,1,Cerah / Sedikit Awan,0.196364,0.189405,0.437273,0.248309,120,1229,1349,8.050924,9.47025,16.636703,43.7273
4,2011-01-04,Semi,0,1,0,Selasa,1,Cerah / Sedikit Awan,0.2,0.212122,0.590435,0.160296,108,1454,1562,8.200000000000001,10.6061,10.739832,59.0435
5,2011-01-05,Semi,0,1,0,Rabu,1,Cerah / Sedikit Awan,0.226957,0.22927,0.436957,0.1869,82,1518,1600,9.305237,11.4635,12.522300000000001,43.695699999999995
6,2011-01-06,Semi,0,1,0,Kamis,1,Cerah / Sedikit Awan,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,8.378268,11.66045,6.0008684,51.8261
7,2011-01-07,Semi,0,1,0,Jumat,1,Berkabut + Mendung,0.196522,0.208839,0.498696,0.168726,148,1362,1510,8.057402,10.44195,11.304642,49.8696
8,2011-01-08,Semi,0,1,0,Sabtu,0,Berkabut + Mendung,0.165,0.162254,0.535833,0.266804,68,891,959,6.765000000000001,8.1127,17.875868,53.5833
9,2011-01-09,Semi,0,1,0,Minggu,0,Cerah / Sedikit Awan,0.138333,0.116175,0.434167,0.36195,54,768,822,5.671653,5.80875,24.25065,43.416700000000006
10,2011-01-10,Semi,0,1,0,Senin,1,Cerah / Sedikit Awan,0.150833,0.150888,0.482917,0.223267,41,1280,1321,6.184153,7.5443999999999996,14.958889,48.2917
11,2011-01-11,Semi,0,1,0,Selasa,1,Berkabut + Mendung,0.169091,0.191464,0.686364,0.122132,43,1220,1263,6.9327309999999995,9.5732,8.182844000000001,68.6364
12,2011-01-12,Semi,0,1,0,Rabu,1,Cerah / Sedikit Awan,0.172727,0.160473,0.599545,0.304627,25,1137,1162,7.0818069999999995,8.02365,20.410009,59.954499999999996
13,2011-01-13,Semi,0,1,0,Kamis,1,Cerah / Sedikit Awan,0.165,0.150883,0.470417,0.301,38,1368,1406,6.765000000000001,7.544149999999999,20.166999999999998,47.0417
14,2011-01-14,Semi,0,1,0,Jumat,1,Cerah / Sedikit Awan,0.16087,0.188413,0.537826,0.126548,54,1367,1421,6.59567,9.42065,8.478716,53.7826
15,2011-01-15,Semi,0,1,0,Sabtu,0,Berkabut + Mendung,0.233333,0.248112,0.49875,0.157963,222,1026,1248,9.566653,12.4056,10.583521,49.875
16,2011-01-16,Semi,0,1,0,Minggu,0,Cerah / Sedikit Awan,0.231667,0.234217,0.48375,0.188433,251,953,1204,9.498347,11.71085,12.625010999999999,48.375
17,2011-01-17,Semi,0,1,1,Senin,0,Berkabut + Mendung,0.175833,0.176771,0.5375,0.194017,117,883,1000,7.209153,8.838550000000001,12.999139,53.75
18,2011-01-18,Semi,0,1,0,Selasa,1,Berkabut + Mendung,0.216667,0.232333,0.861667,0.146775,9,674,683,8.883347,11.61665,9.833924999999999,86.16669999999999
19,2011-01-19,Semi,0,1,0,Rabu,1,Berkabut + Mendung,0.292174,0.298422,0.741739,0.208317,78,1572,1650,11.979134,14.921100000000001,13.957239,74.1739
20,2011-01-20,Semi,0,1,0,Kamis,1,Berkabut + Mendung,0.261667,0.25505,0.538333,0.195904,83,1844,1927,10.728347,12.7525,13.125568,53.833299999999994
21,2011-01-21,Semi,0,1,0,Jumat,1,Cerah / Sedikit Awan,0.1775,0.157833,0.457083,0.353242,75,1468,1543,7.2775,7.89165,23.667214,45.7083
22,2011-01-22,Semi,0,1,0,Sabtu,0,Cerah / Sedikit Awan,0.0591304,0.0790696,0.4,0.17197,93,888,981,2.4243464,3.9534800000000003,11.52199,40.0
