payment_type,payment_value
credit_card,99.33
credit_card,24.39
credit_card,65.71
credit_card,107.78
credit_card,128.45
credit_card,96.12
credit_card,81.16
credit_card,51.84
credit_card,341.09
boleto,51.95
credit_card,188.73
credit_card,141.9
credit_card,75.78
credit_card,102.66
credit_card,105.28
credit_card,157.45
credit_card,132.04
credit_card,98.94
credit_card,244.15
credit_card,136.71
credit_card,47.69
credit_card,170.57
credit_card,67.5
credit_card,353.09
boleto,330.66
voucher,45.17
credit_card,541.0
credit_card,139.22
credit_card,290.16
boleto,283.34
credit_card,13.78
credit_card,30.28
credit_card,26.58
credit_card,89.68
credit_card,65.09
credit_card,173.84
credit_card,103.49
credit_card,64.03
credit_card,157.15
boleto,130.88
credit_card,47.72
credit_card,117.74
boleto,56.6
credit_card,266.16
boleto,31.38
credit_card,121.49
credit_card,32.0
credit_card,153.41
credit_card,65.71
credit_card,278.22
credit_card,91.66
credit_card,132.51
credit_card,542.66
boleto,166.04
boleto,368.98
credit_card,113.2
credit_card,99.43
credit_card,27.35
credit_card,43.77
credit_card,68.49
credit_card,105.53
credit_card,387.8
boleto,84.14
credit_card,210.82
boleto,90.05
credit_card,67.88
credit_card,37.58
boleto,89.63
voucher,69.46
credit_card,78.3
voucher,50.8
credit_card,34.0
boleto,77.1
credit_card,566.4
credit_card,402.42
voucher,57.53
credit_card,44.01
credit_card,187.51
credit_card,77.7
credit_card,48.68
credit_card,77.29
credit_card,117.71
credit_card,169.34
credit_card,37.61
credit_card,13.8
debit_card,227.12
credit_card,34.78
credit_card,342.56
credit_card,73.34
credit_card,117.85
credit_card,48.62
credit_card,53.99
credit_card,51.14
credit_card,121.45
credit_card,73.34
credit_card,117.68
credit_card,56.77
credit_card,115.59
credit_card,60.07
credit_card,27.27
boleto,32.15
credit_card,195.71
voucher,43.12
credit_card,88.49
credit_card,34.09
credit_card,40.99
credit_card,71.99
boleto,47.0
credit_card,81.78
credit_card,231.45
credit_card,144.2
debit_card,35.14
credit_card,285.79
credit_card,176.7
credit_card,27.63
credit_card,134.56
credit_card,96.98
credit_card,110.03
credit_card,17.78
credit_card,44.0
credit_card,110.11
voucher,22.49
credit_card,46.63
boleto,52.21
credit_card,61.77
boleto,121.88
credit_card,75.75
credit_card,130.22
credit_card,57.53
credit_card,76.02
boleto,90.17
credit_card,31.0
credit_card,106.77
voucher,163.25
boleto,233.66
credit_card,163.08
credit_card,135.93
credit_card,267.05
credit_card,186.72
voucher,30.0
credit_card,97.28
credit_card,48.61
boleto,116.7
credit_card,41.42
boleto,42.19
credit_card,125.53
credit_card,92.76
credit_card,348.02
credit_card,203.3
credit_card,44.35
credit_card,116.05
boleto,85.14
credit_card,236.66
credit_card,220.3
credit_card,180.55
boleto,45.46
boleto,26.08
credit_card,375.74
credit_card,123.41
credit_card,379.07
credit_card,2027.16
credit_card,45.5
credit_card,91.17
boleto,93.26
voucher,30.0
credit_card,165.96
voucher,50.0
credit_card,1002.73
boleto,116.56
credit_card,240.52
credit_card,33.13
credit_card,213.9
credit_card,362.17
credit_card,88.72
credit_card,46.85
boleto,68.54
boleto,32.62
credit_card,340.08
boleto,82.06
credit_card,40.95
credit_card,67.01
voucher,20.0
voucher,76.9
credit_card,40.27
credit_card,242.1
boleto,207.24
credit_card,215.56
credit_card,39.92
credit_card,156.09
credit_card,131.5
boleto,137.73
credit_card,31.75
credit_card,348.77
credit_card,12.22
credit_card,139.87
credit_card,257.1
credit_card,269.46
credit_card,40.0
credit_card,350.09
credit_card,134.55
credit_card,112.73
boleto,72.05
credit_card,0.67
credit_card,77.77
credit_card,26.68
credit_card,371.42
credit_card,225.71
credit_card,103.79
boleto,65.0
voucher,69.8
voucher,20.09
credit_card,125.41
boleto,95.99
credit_card,25.33
credit_card,52.57
credit_card,145.58
credit_card,49.7
credit_card,47.43
credit_card,168.57
credit_card,133.81
voucher,1.23
boleto,123.82
credit_card,283.66
credit_card,89.88
boleto,32.38
credit_card,43.08
credit_card,254.58
voucher,48.91
credit_card,48.22
credit_card,67.58
credit_card,311.18
credit_card,154.14
credit_card,333.68
boleto,404.88
boleto,44.77
voucher,1302.42
credit_card,645.8
credit_card,186.39
credit_card,208.41
debit_card,76.39
credit_card,67.42
credit_card,232.05
boleto,69.33
credit_card,641.2
boleto,41.86
voucher,50.0
credit_card,106.96
credit_card,2288.31
boleto,69.9
boleto,88.08
credit_card,117.39
debit_card,194.91
debit_card,68.89
credit_card,151.51
credit_card,54.85
credit_card,103.68
debit_card,225.63
boleto,39.6
credit_card,159.18
credit_card,234.43
boleto,44.83
credit_card,205.44
credit_card,13.55
credit_card,221.96
credit_card,52.38
credit_card,131.47
credit_card,38.06
voucher,35.0
credit_card,143.65
credit_card,86.73
credit_card,118.35
credit_card,341.58
credit_card,105.42
credit_card,68.16
credit_card,357.97
voucher,2.99
boleto,92.57
credit_card,68.35
credit_card,197.23
credit_card,153.67
credit_card,46.43
credit_card,102.03
credit_card,119.45
credit_card,44.23
credit_card,67.5
voucher,8.75
credit_card,44.27
credit_card,37.15
credit_card,114.13
credit_card,396.97
credit_card,185.85
credit_card,62.11
credit_card,25.23
credit_card,153.22
debit_card,145.01
boleto,70.89
credit_card,114.34
credit_card,31.38
credit_card,256.5
boleto,341.4
credit_card,143.99
voucher,84.88
credit_card,232.27
credit_card,194.0
credit_card,260.57
credit_card,49.59
credit_card,196.55
boleto,245.94
voucher,72.42
credit_card,217.15
credit_card,152.28
credit_card,72.34
credit_card,128.95
credit_card,56.85
credit_card,20.29
boleto,171.75
credit_card,85.82
boleto,56.05
boleto,26.09
credit_card,41.17
boleto,37.25
credit_card,135.13
credit_card,477.45
credit_card,440.12
credit_card,67.7
boleto,168.51
boleto,31.86
boleto,40.87
credit_card,109.59
credit_card,206.87
credit_card,134.38
credit_card,56.06
credit_card,264.08
credit_card,240.77
credit_card,91.72
credit_card,49.01
boleto,107.87
credit_card,62.01
credit_card,36.69
credit_card,35.0
credit_card,256.37
credit_card,47.84
credit_card,125.87
credit_card,42.39
credit_card,117.53
credit_card,43.28
credit_card,144.54
boleto,126.48
credit_card,125.29
credit_card,229.74
credit_card,124.6
boleto,143.86
voucher,56.89
boleto,46.78
voucher,3.98
credit_card,72.66
boleto,50.1
boleto,85.79
boleto,63.7
credit_card,1586.47
credit_card,433.07
credit_card,642.02
credit_card,263.95
boleto,134.99
credit_card,57.89
credit_card,383.99
boleto,159.31
credit_card,756.91
credit_card,156.22
credit_card,132.95
boleto,48.27
credit_card,107.35
credit_card,110.2
credit_card,368.92
boleto,106.85
credit_card,281.5
credit_card,54.25
credit_card,121.78
credit_card,102.26
boleto,90.62
boleto,75.69
debit_card,42.86
credit_card,35.7
credit_card,444.25
credit_card,69.16
voucher,30.0
credit_card,65.71
credit_card,29.29
credit_card,37.74
voucher,30.0
credit_card,145.9
credit_card,79.88
